Day,Streamflow (m^3/s),Stdev
304,231.9460551111111,86.27907382758347
305,225.41588640000003,73.50667176392359
306,227.55852426666667,69.69750509018533
307,237.27354639999996,93.87440937988833
308,219.23967768888886,66.81339785012393
309,235.3314858666666,94.9809066818309
310,232.17416266666663,79.34661198345236
311,227.04488897777776,71.54460997014581
312,217.4108843555555,75.13002777394885
313,212.8778366222222,75.81463616324449
314,214.14029395555562,83.11476230594693
315,223.78767040000002,122.22987675185774
316,219.09809368888887,105.94969765843024
317,222.61645608888887,99.32525998770213
318,213.20426639999997,85.64892433320118
319,217.87496524444444,81.83052586390086
320,210.77138133333332,69.99210891397935
321,209.17620160000004,86.47259642342812
322,193.08203368888888,68.37162366731641
323,194.19110835555557,66.95591433623662
324,185.94226720000003,58.19770302084097
325,179.13443653333331,55.527922072086724
326,173.4435463111111,57.12359315321671
327,169.88978791111106,46.28131614998916
328,168.88926097777778,49.18939820186728
329,173.21701191111114,63.34377995736612
330,166.97001119999996,56.0195363531175
331,164.7400632,52.91554100265367
332,161.6810622222222,51.405104969933774
333,169.70494213333333,54.421052084449975
334,167.7919849777778,45.907388566511685
335,165.14751048888894,43.39351765547729
336,156.80585315555552,41.05597130720596
337,154.45319902222224,50.1901846918362
338,152.98072542222224,54.04556820167319
339,142.0638124444444,48.03804282468464
340,138.74130791111114,40.14602011739548
341,140.9460854222222,45.312096424180176
342,136.9337521777778,40.5213194239386
343,138.2599223111111,42.12864654661332
344,142.02920302222225,45.603196419584926
345,146.13435244444443,42.93845357659624
346,144.52658746666668,35.71331496436748
347,149.81396328888886,51.31460509041223
348,142.3886690666667,36.91585734351135
349,144.14824355555558,39.266655517085304
350,142.78431768888888,40.07407017503455
351,136.5868713777778,38.06152549382713
352,132.53284951111115,31.628571383921262
353,129.3487826666667,32.23098619539689
354,130.18648799999997,35.66407781010311
355,129.73184604444444,33.569061436786114
356,128.3427496888889,35.5883858574937
357,128.4198343111111,33.23676737117135
358,127.1731085333333,26.775187264603904
359,129.03493813333336,27.123892570674045
360,135.96940782222222,33.285594823721354
361,133.0630029333333,32.597811247546275
362,127.44369128888889,35.53262298205801
363,123.4156264888889,36.21051345221853
364,125.10991502222221,38.82382739012811
