DOY,Tmin (K),Tmin std (K),Tmax (K),Tmax std (K),Tavg (K),Tavg std (K),Precip (m),Precip std (m)
216,280.2744502786922,2.2913737886538734,291.4393137338999,3.650826738701805,286.06963016594364,2.83540680138001,0.0025896200204308336,0.0024911401806536303
217,280.12965644255326,2.3716777634287083,291.1565537511278,3.962245634822957,286.1001780367015,3.098706676289637,0.0023032562835056847,0.0022510330553785944
218,280.44158988034116,2.3875751642740677,291.68490653073167,3.8595337006685906,286.50509643554693,2.999071064823073,0.0025954028386103696,0.0030021685364326027
219,280.4672204469873,1.913402687794851,291.5608813686512,3.6645770656912524,286.3074293581801,2.745851644796298,0.0028035561354728005,0.0033468351321600176
220,280.288300460328,2.284727688440202,291.0098867205496,3.8812267425127502,285.90720016891896,3.048443622588268,0.0031165494927944465,0.004364610306623629
221,279.94541507505375,2.4577037498042484,291.0904472782219,4.144863539274491,285.8907394221725,3.1880818862376823,0.0021832544856430235,0.002371163005526617
222,280.2695002075494,2.4732743884012147,291.30541084908157,4.221392921987155,286.0469640033544,3.199262559389397,0.0030912872701061717,0.00332675594444781
223,279.82981501398865,2.788952871533941,290.65659386637174,4.490051762042661,285.54627934486336,3.567716769760446,0.003459969642040359,0.00411702813359668
224,279.82294443491344,2.521942131112777,290.87879182782746,4.779945914509685,285.70562729144274,3.7031906367485248,0.002784002406769265,0.0028644412083054186
225,279.84425680174587,2.841998852360534,290.9729923182682,5.040262930196941,285.602063828077,3.7153620008727417,0.0020687395136568007,0.002549881992843402
226,280.1824714979317,2.2261073276265835,291.415257409398,4.608199124183508,286.1269013126008,3.354891256942256,0.002368182110168844,0.003047967193959425
227,279.5208516038899,3.3156514879251056,290.768439140601,4.70818939066952,285.28405529275284,3.7916019954665487,0.003475943615951192,0.004748638092745714
228,279.35304398970163,3.0817223416821395,290.01577128942245,4.937857301865777,284.939681369491,3.8058335256971456,0.0027378755558261957,0.0026976089207210877
229,279.16140732073956,3.0074424998786373,290.1080256281673,4.566794401791573,284.99161418942913,3.5743314769667935,0.0029494655857728253,0.004002564794521033
230,279.1751552272488,2.6058876834143008,290.35265213500077,4.507545529887922,285.229851875024,3.52881107658384,0.001567566263326086,0.0017088285469010645
231,279.34717981586886,2.7530766815334387,290.8944466705696,3.896557828705462,285.33382458886,3.028010850913819,0.0018549979504366015,0.0020833054236260628
232,279.1235594503416,2.638838598738932,290.4216310093385,3.9324262653789144,284.95511471610104,2.988029687985154,0.0020593174084209396,0.002480003834545081
233,278.9986483787143,2.8695179777821846,289.4407230911443,4.441615686029603,284.3888775499799,3.3422251383616346,0.002788489742831172,0.003300340611608539
234,278.69194049507155,2.9624883421079837,289.13862306187133,3.894934688153444,284.1007006595997,3.1233343729046097,0.002000459658824082,0.0028716552783437464
235,278.56421490793434,2.2716464505982583,289.01507800802847,3.5693434787151825,283.8499685376516,2.827442139356693,0.0034647407424425788,0.0047953114224974945
236,277.93618954370305,2.8264990357003286,288.22161737765373,4.46611991637724,283.33330211592533,3.442208658172806,0.0020270728445564348,0.0020142636229738484
